"번호","레벨","섹션","유형","id","스크립트/지문","문제","보기1","보기2","보기3","보기4","정답번호","정답내용","참고(일본어해설)","정답OK(Y/N)","검수의견"
"11","TOPIK I (1〜2級)","듣기","듣기","l-greet-goodbye","남자: 안녕히 가세요. 여자: ___","続く言葉として正しいものを選んでください。","안녕히 계세요.","안녕히 가세요.","잘 먹겠습니다.","처음 뵙겠습니다.","1","안녕히 계세요.","去る人に「안녕히 가세요」、残る人は「안녕히 계세요」と返す。","",""
"12","TOPIK I (1〜2級)","듣기","듣기","l-greet-firstmeet","남자: 처음 뵙겠습니다. 여자: ___","続く言葉として正しいものを選んでください。","만나서 반갑습니다.","안녕히 가세요.","잘 먹겠습니다.","아니에요.","1","만나서 반갑습니다.","「처음 뵙겠습니다(はじめまして)」には「만나서 반갑습니다(お会いできてうれしい)」。","",""
"13","TOPIK I (1〜2級)","듣기","듣기","l-greet-meal","여자: 맛있게 드세요. 남자: ___","続く言葉として正しいものを選んでください。","잘 먹겠습니다.","안녕히 계세요.","괜찮아요.","반갑습니다.","1","잘 먹겠습니다.","「맛있게 드세요(召し上がれ)」には「잘 먹겠습니다(いただきます)」。","",""
"14","TOPIK I (1〜2級)","듣기","듣기","l-greet-sorry","남자: 죄송합니다. 여자: ___","続く言葉として正しいものを選んでください。","괜찮아요.","고맙습니다.","안녕하세요.","잘 먹겠습니다.","1","괜찮아요.","「죄송합니다(すみません)」には「괜찮아요(大丈夫です)」。","",""
"15","TOPIK I (1〜2級)","듣기","듣기","l-place-shop","여자: 사과 한 개에 얼마예요? 남자: 천 원이에요. 여자: 그럼 세 개 주세요.","ここはどこですか。","가게","학교","병원","은행","1","가게","値段「얼마예요?」と「~개 주세요」のやり取り → 店(가게)。","",""
"16","TOPIK I (1〜2級)","듣기","듣기","l-place-salon","여자: 머리를 자르고 싶어요. 남자: 네, 어떻게 해 드릴까요?","ここはどこですか。","미용실","도서관","식당","공항","1","미용실","「머리를 자르다(髪を切る)」→ 美容室(미용실)。","",""
"17","TOPIK I (1〜2級)","듣기","듣기","l-place-bank","남자: 통장을 만들고 싶어요. 여자: 신분증 주세요.","ここはどこですか。","은행","병원","가게","학교","1","은행","「통장(通帳)」「신분증(身分証)」→ 銀行(은행)。","",""
"18","TOPIK I (1〜2級)","듣기","듣기","l-place-cinema","여자: 표 두 장 주세요. 남자: 몇 시 영화를 보시겠어요?","ここはどこですか。","영화관","식당","서점","공원","1","영화관","「표(チケット)」「영화(映画)」→ 映画館(영화관)。","",""
"19","TOPIK I (1〜2級)","듣기","듣기","l-place-hospital","남자: 어디가 아프세요? 여자: 어제부터 머리가 아파요.","ここはどこですか。","병원","약국","학교","회사","1","병원","「어디가 아프세요?(どこが痛いですか)」→ 病院(병원)。","",""
"20","TOPIK I (1〜2級)","듣기","듣기","l-topic-weekend","여자: 주말에 뭐 했어요? 남자: 영화를 봤어요. 여자: 재미있었어요?","二人は何について話していますか。","주말","날씨","음식","가족","1","주말","「주말에 뭐 했어요?(週末に何をした)」→ 週末(주말)の話。","",""
"21","TOPIK I (1〜2級)","듣기","듣기","l-topic-family","여자: 가족이 몇 명이에요? 남자: 네 명이에요. 부모님하고 동생이 있어요.","二人は何について話していますか。","가족","직업","날씨","여행","1","가족","「가족이 몇 명」「부모님하고 동생」→ 家族(가족)。","",""
"22","TOPIK I (1〜2級)","듣기","듣기","l-topic-sport","여자: 무슨 운동을 좋아해요? 남자: 저는 수영을 좋아해요.","二人は何について話していますか。","운동","공부","음식","계절","1","운동","「무슨 운동을 좋아해요?」「수영(水泳)」→ 運動(운동)。","",""
"23","TOPIK I (1〜2級)","듣기","듣기","l-topic-job","여자: 어디에서 일해요? 남자: 회사에서 일해요.","二人は何について話していますか。","직업","취미","학교","여행","1","직업","「어디에서 일해요?(どこで働く)」「회사」→ 職業(직업)。","",""
"24","TOPIK I (1〜2級)","듣기","듣기","l-do-music","여자: 뭐 해요? 남자: 음악을 들어요.","男性は今、何をしていますか。","음악을 들어요.","텔레비전을 봐요.","밥을 먹어요.","책을 읽어요.","1","음악을 들어요.","男性は「음악을 들어요(音楽を聞く)」と言っている。","",""
"25","TOPIK I (1〜2級)","듣기","듣기","l-do-coffee","남자: 커피 마실래요? 여자: 네, 좋아요. 제가 살게요.","女性はこのあと何をしますか。","커피를 삽니다.","집에 갑니다.","책을 읽습니다.","밥을 만듭니다.","1","커피를 삽니다.","女性が「제가 살게요(私が買います)」→ 女性がコーヒーを買う。","",""
"26","TOPIK I (1〜2級)","듣기","듣기","l-match-hiking","남자: 내일 같이 등산 갈래요? 여자: 미안해요. 내일은 일이 있어요. 다음에 가요.","内容と同じものを選んでください。","여자는 내일 등산을 안 갑니다.","여자는 내일 등산을 갑니다.","남자는 일이 있습니다.","두 사람은 오늘 등산을 했습니다.","1","여자는 내일 등산을 안 갑니다.","女性は「일이 있어요(用事がある)」と断った → 明日は登山に行かない。","",""
"27","TOPIK I (1〜2級)","듣기","듣기","l-mind-korean","여자: 한국어 공부가 어때요? 남자: 재미있어요. 그런데 좀 어려워요.","男性の中心となる考えを選んでください。","한국어 공부가 재미있습니다.","한국어 공부를 안 합니다.","한국어 공부가 쉽습니다.","한국어 공부가 재미없습니다.","1","한국어 공부가 재미있습니다.","「재미있어요. 그런데 좀 어려워요」→ 中心は「面白い」。","",""
"28","TOPIK I (1〜2級)","듣기","듣기","l-match-weather","여자: 오늘 날씨가 어때요? 남자: 비가 와요. 그래서 우산을 가지고 왔어요.","内容と同じものを選んでください。","남자는 우산을 가지고 왔습니다.","오늘은 날씨가 맑습니다.","남자는 우산이 없습니다.","여자는 비를 좋아합니다.","1","남자는 우산을 가지고 왔습니다.","「비가 와요. 그래서 우산을 가지고 왔어요」→ 傘を持ってきた。","",""
"29","TOPIK I (1〜2級)","듣기","듣기","l-ans-time","남자: 시간 있어요? 여자: ___","問いに合う答えを選んでください。","네, 시간 있어요.","아니요, 시계가 없어요.","네, 시간을 봐요.","아니요, 시간에 가요.","1","네, 시간 있어요.","「시간 있어요?(時間ありますか)」→「네, 시간 있어요」。","",""
"30","TOPIK I (1〜2級)","듣기","듣기","l-ans-weather","여자: 날씨가 좋아요? 남자: ___","問いに合う答えを選んでください。","네, 아주 좋아요.","아니요, 날씨에 가요.","네, 날씨를 만나요.","아니요, 날씨가 와요.","1","네, 아주 좋아요.","「좋아요?(いいですか)」→「네, 아주 좋아요」。","",""
"31","TOPIK I (1〜2級)","듣기","듣기","l-wh-howmuch","여자: 이거 얼마예요? 남자: ___","問いに合う答えを選んでください。","오천 원이에요.","다섯 개예요.","오 층이에요.","다섯 시예요.","1","오천 원이에요.","「얼마예요?(いくら)」には値段 →「오천 원(5千ウォン)」。","",""
"32","TOPIK I (1〜2級)","듣기","듣기","l-wh-age","남자: 몇 살이에요? 여자: ___","問いに合う答えを選んでください。","스무 살이에요.","스무 개예요.","두 시예요.","이 층이에요.","1","스무 살이에요.","「몇 살이에요?(何歳)」には年齢 →「스무 살(20歳)」。","",""
"33","TOPIK I (1〜2級)","듣기","듣기","l-wh-job","여자: 직업이 뭐예요? 남자: ___","問いに合う答えを選んでください。","회사원이에요.","회사에 가요.","회사가 멀어요.","회사를 좋아해요.","1","회사원이에요.","「직업이 뭐예요?(職業は)」には職業 →「회사원(会社員)」。","",""
"34","TOPIK I (1〜2級)","듣기","듣기","l-greet-night","남자: 안녕히 주무세요. 여자: ___","続く言葉として正しいものを選んでください。","네, 안녕히 주무세요.","잘 먹겠습니다.","처음 뵙겠습니다.","어서 오세요.","1","네, 안녕히 주무세요.","就寝のあいさつ「안녕히 주무세요(おやすみなさい)」には同じ言葉を返す。","",""
"35","TOPIK I (1〜2級)","듣기","듣기","l-greet-order","여자: 어서 오세요. 뭘 드릴까요? 남자: ___","続く言葉として正しいものを選んでください。","커피 한 잔 주세요.","안녕히 가세요.","잘 먹겠습니다.","여기 있습니다.","1","커피 한 잔 주세요.","「뭘 드릴까요?(何にしますか)」→ 注文「커피 한 잔 주세요」。","",""
"36","TOPIK I (1〜2級)","듣기","듣기","l-place-postoffice","여자: 이 편지를 일본에 보내고 싶어요. 남자: 네, 무게를 달아 볼게요.","ここはどこですか。","우체국","은행","도서관","약국","1","우체국","「편지(手紙)」「보내다(送る)」→ 郵便局(우체국)。","",""
"37","TOPIK I (1〜2級)","듣기","듣기","l-place-restaurant","남자: 비빔밥 하나하고 냉면 하나 주세요. 여자: 네, 잠시만 기다리세요.","ここはどこですか。","식당","가게","병원","학교","1","식당","料理を注文している → 食堂(식당)。","",""
"38","TOPIK I (1〜2級)","듣기","듣기","l-place-pharmacy","여자: 머리가 아픈데 약 좀 주세요. 남자: 이 약을 하루 세 번 드세요.","ここはどこですか。","약국","병원","가게","미용실","1","약국","「약 좀 주세요(薬をください)」→ 薬局(약국)。","",""
"39","TOPIK I (1〜2級)","듣기","듣기","l-topic-hobby","여자: 취미가 뭐예요? 남자: 저는 그림 그리기를 좋아해요.","二人は何について話していますか。","취미","직업","운동","음식","1","취미","「취미가 뭐예요?(趣味は)」「그림 그리기(絵を描くこと)」→ 趣味(취미)。","",""
"40","TOPIK I (1〜2級)","듣기","듣기","l-topic-cold","남자: 오늘 정말 춥네요. 여자: 네, 어제보다 더 추워요.","二人は何について話していますか。","날씨","계절","시간","장소","1","날씨","「춥다(寒い)」の話 → 天気(날씨)。","",""
"41","TOPIK I (1〜2級)","듣기","듣기","l-do-cook","여자: 지금 뭐 해요? 남자: 저녁을 만들어요.","男性は今、何をしていますか。","요리를 합니다.","청소를 합니다.","운동을 합니다.","잠을 잡니다.","1","요리를 합니다.","「저녁을 만들어요(夕飯を作る)」→ 料理をしている。","",""
"42","TOPIK I (1〜2級)","듣기","듣기","l-match-late","남자: 왜 늦었어요? 여자: 버스를 놓쳐서 늦었어요.","内容と同じものを選んでください。","여자는 버스를 놓쳤습니다.","여자는 일찍 왔습니다.","남자가 늦었습니다.","여자는 택시를 탔습니다.","1","여자는 버스를 놓쳤습니다.","「버스를 놓쳐서(バスに乗り遅れて)」→ 女性はバスに乗り遅れた。","",""
"43","TOPIK I (1〜2級)","듣기","듣기","l3-l-ans-kimchi","여자: 김치 좋아해요? 남자: ___","問いに合う答えを選んでください。","네, 아주 좋아해요.","아니요, 김치에 가요.","네, 김치를 만나요.","아니요, 김치가 와요.","1","네, 아주 좋아해요.","「좋아해요?(好きですか)」→「네, 아주 좋아해요」。","",""
"44","TOPIK I (1〜2級)","듣기","듣기","l3-l-ans-rain","남자: 밖에 비가 와요? 여자: ___","問いに合う答えを選んでください。","네, 비가 와요.","아니요, 비를 좋아해요.","네, 비에 가요.","아니요, 비가 멀어요.","1","네, 비가 와요.","「비가 와요?(雨が降ってますか)」→「네, 비가 와요」。","",""
"45","TOPIK I (1〜2級)","듣기","듣기","l3-l-wh-day","여자: 오늘 무슨 요일이에요? 남자: ___","問いに合う答えを選んでください。","수요일이에요.","삼 일이에요.","세 시예요.","세 개예요.","1","수요일이에요.","「무슨 요일?(何曜日)」には曜日 →「수요일(水曜日)」。","",""
"46","TOPIK I (1〜2級)","듣기","듣기","l3-l-wh-date","남자: 오늘 며칠이에요? 여자: ___","問いに合う答えを選んでください。","십 일이에요.","열 시예요.","열 명이에요.","일요일이에요.","1","십 일이에요.","「며칠?(何日)」には日付 →「십 일(10日)」。","",""
"47","TOPIK I (1〜2級)","듣기","듣기","l3-l-wh-how-go","여자: 학교에 어떻게 가요? 남자: ___","問いに合う答えを選んでください。","버스로 가요.","학교에 가요.","친구하고 가요.","지금 가요.","1","버스로 가요.","「어떻게 가요?(どうやって行く)」には手段 →「버스로(バスで)」。","",""
"48","TOPIK I (1〜2級)","듣기","듣기","l3-l-greet-again","여자: 또 만나요. 남자: ___","続く言葉として正しいものを選んでください。","네, 또 만나요.","처음 뵙겠습니다.","잘 먹겠습니다.","어서 오세요.","1","네, 또 만나요.","「또 만나요(また会いましょう)」には同じ言葉を返す。","",""
"49","TOPIK I (1〜2級)","듣기","듣기","l3-l-place-bakery","여자: 갓 구운 빵 있어요? 남자: 네, 여기 식빵하고 단팥빵이 있어요.","ここはどこですか。","빵집","약국","은행","서점","1","빵집","「빵(パン)」を売っている → パン屋(빵집)。","",""
"50","TOPIK I (1〜2級)","듣기","듣기","l3-l-place-bookstore","남자: 이 책 얼마예요? 여자: 만 오천 원입니다.","ここはどこですか。","서점","도서관","가게","학교","1","서점","本を「얼마예요?」と買おうとしている → 書店(서점)。図書관は借りる所。","",""
"51","TOPIK I (1〜2級)","듣기","듣기","l3-l-place-busstop","여자: 이 버스 시청에 가요? 남자: 아니요, 다음 버스를 타세요.","ここはどこですか。","버스 정류장","기차역","공항","지하철역","1","버스 정류장","バスを待つ会話 → バス停(버스 정류장)。","",""
"52","TOPIK I (1〜2級)","듣기","듣기","l3-l-topic-food","여자: 무슨 음식을 좋아해요? 남자: 저는 불고기하고 비빔밥을 좋아해요.","二人は何について話していますか。","음식","운동","취미","여행","1","음식","「무슨 음식을 좋아해요?」→ 食べ物(음식)。","",""
"53","TOPIK I (1〜2級)","듣기","듣기","l3-l-topic-trip","여자: 방학에 어디 가요? 남자: 저는 제주도에 가요.","二人は何について話していますか。","여행","직업","가족","날씨","1","여행","「방학에 어디 가요?(休みにどこへ)」→ 旅行(여행)。","",""
"54","TOPIK I (1〜2級)","듣기","듣기","l3-l-do-clean","여자: 지금 뭐 해요? 남자: 방을 청소해요.","男性は今、何をしていますか。","청소를 합니다.","요리를 합니다.","공부를 합니다.","운동을 합니다.","1","청소를 합니다.","「방을 청소해요(部屋を掃除)」→ 掃除している。","",""
"55","TOPIK I (1〜2級)","듣기","듣기","l3-l-do-study","남자: 도서관에서 뭐 했어요? 여자: 시험공부를 했어요.","女性は図書館で何をしましたか。","공부를 했습니다.","잠을 잤습니다.","운동을 했습니다.","영화를 봤습니다.","1","공부를 했습니다.","「시험공부를 했어요(試験勉強をした)」→ 勉強した。","",""
"56","TOPIK I (1〜2級)","듣기","듣기","l3-l-match-gift","여자: 이 가방 새로 샀어요? 남자: 아니요, 생일 선물로 받았어요.","内容と同じものを選んでください。","남자는 가방을 선물로 받았습니다.","남자는 가방을 샀습니다.","가방이 작습니다.","남자는 가방이 없습니다.","1","남자는 가방을 선물로 받았습니다.","「생일 선물로 받았어요」→ かばんはプレゼントでもらった。","",""
"57","TOPIK I (1〜2級)","듣기","듣기","l4-l-wh-country","여자: 어느 나라에서 왔어요? 남자: ___","問いに合う答えを選んでください。","일본에서 왔어요.","일본에 가요.","일본을 좋아해요.","일본이 멀어요.","1","일본에서 왔어요.","「어느 나라에서 왔어요?(どの国から)」→「일본에서 왔어요」。","",""
"58","TOPIK I (1〜2級)","듣기","듣기","l4-l-wh-why","남자: 왜 학교에 안 갔어요? 여자: ___","問いに合う答えを選んでください。","아파서 못 갔어요.","학교에 가요.","친구를 만나요.","내일 가요.","1","아파서 못 갔어요.","「왜?(なぜ)」には理由 →「아파서 못 갔어요(具合が悪くて行けなかった)」。","",""
"59","TOPIK I (1〜2級)","듣기","듣기","l4-l-wh-which","여자: 어느 것이 더 좋아요? 남자: ___","問いに合う答えを選んでください。","이게 더 좋아요.","가게에 있어요.","두 개예요.","아주 좋아해요.","1","이게 더 좋아요.","「어느 것이 더 좋아요?(どれがいい)」→「이게 더 좋아요」。","",""
"60","TOPIK I (1〜2級)","듣기","듣기","l4-l-place-flower","남자: 장미꽃 열 송이 주세요. 여자: 네, 예쁘게 포장해 드릴게요.","ここはどこですか。","꽃집","빵집","옷 가게","약국","1","꽃집","「장미꽃(バラ)」を買う → 花屋(꽃집)。","",""
"61","TOPIK I (1〜2級)","듣기","듣기","l4-l-place-clothes","여자: 이 옷 입어 봐도 돼요? 남자: 네, 탈의실은 저쪽입니다.","ここはどこですか。","옷 가게","미용실","식당","서점","1","옷 가게","「입어 봐도 돼요?(試着していい)」「탈의실(試着室)」→ 服屋(옷 가게)。","",""
"62","TOPIK I (1〜2級)","듣기","듣기","l4-l-place-cafe","남자: 따뜻한 커피 한 잔 주세요. 여자: 드시고 가세요, 아니면 가지고 가세요?","ここはどこですか。","카페","식당","빵집","약국","1","카페","「커피 한 잔」「드시고 가세요/가지고 가세요」→ カフェ。","",""
"63","TOPIK I (1〜2級)","듣기","듣기","l4-l-place-subway","여자: 시청역까지 몇 정거장이에요? 남자: 세 정거장만 가시면 됩니다.","ここはどこですか。","지하철역","버스 정류장","공항","병원","1","지하철역","「시청역」「정거장(駅・停留所)」の会話 → 地下鉄の駅(지하철역)。","",""
"64","TOPIK I (1〜2級)","듣기","듣기","l4-l-topic-plan","여자: 이번 주말에 뭐 할 거예요? 남자: 친구들이랑 등산 가기로 했어요.","二人は何について話していますか。","주말 계획","직업","날씨","가족","1","주말 계획","「주말에 뭐 할 거예요?(週末の予定)」→ 週末の計画。","",""
"65","TOPIK I (1〜2級)","듣기","듣기","l4-l-topic-health","남자: 요즘 건강은 좀 어때요? 여자: 운동을 시작해서 그런지 많이 좋아졌어요.","二人は何について話していますか。","건강","취미","음식","여행","1","건강","「건강은 어때요?(健康は)」→ 健康。","",""
"66","TOPIK I (1〜2級)","듣기","듣기","l4-l-do-laundry","여자: 지금 뭐 해요? 남자: 빨래를 해요.","男性は今、何をしていますか。","빨래를 합니다.","설거지를 합니다.","청소를 합니다.","요리를 합니다.","1","빨래를 합니다.","「빨래를 해요(洗濯をする)」→ 洗濯している。","",""
"67","TOPIK I (1〜2級)","듣기","듣기","l4-l-do-dishes","남자: 밥 다 먹었으면 뭐 할 거예요? 여자: 설거지를 할 거예요.","女性はこのあと何をしますか。","설거지를 합니다.","빨래를 합니다.","잠을 잡니다.","운동을 합니다.","1","설거지를 합니다.","「설거지를 할 거예요(皿洗いをする)」→ 皿洗いをする。","",""
"68","TOPIK I (1〜2級)","듣기","듣기","l4-l-offer-help","여자: 짐이 무거워 보이는데 도와드릴까요? 남자: ___","続く言葉として正しいものを選んでください。","네, 감사합니다.","날씨가 참 좋네요.","맛있게 드세요.","안녕히 가세요.","1","네, 감사합니다.","「도와드릴까요?(手伝いましょうか)」→「네, 감사합니다」。","",""
"69","TOPIK I (1〜2級)","듣기","듣기","l4-l-suggest-eat","남자: 점심에 같이 비빔밥 먹을래요? 여자: ___","続く言葉として正しいものを選んでください。","좋아요, 그렇게 해요.","잘 먹겠습니다.","오랜만이에요.","처음 뵙겠습니다.","1","좋아요, 그렇게 해요.","「같이 먹을래요?(一緒に食べますか)」への同意 →「좋아요, 그렇게 해요」。","",""
"70","TOPIK I (1〜2級)","듣기","듣기","l4-l-match-umbrella","여자: 우산 안 가져왔어요? 남자: 네, 아침에는 안 왔는데 갑자기 비가 오네요.","内容と同じものを選んでください。","남자는 우산이 없습니다.","남자는 우산을 가져왔습니다.","아침부터 비가 왔습니다.","지금 비가 안 옵니다.","1","남자는 우산이 없습니다.","「우산 안 가져왔어요? 네」→ 男性は傘がない。朝は降っていなかった。","",""
"71","TOPIK I (1〜2級)","듣기","듣기","l5-l-wh-howlong","여자: 회사까지 얼마나 걸려요? 남자: ___","問いに合う答えを選んでください。","삼십 분쯤 걸려요.","세 번 갑니다.","회사에 가요.","버스를 타요.","1","삼십 분쯤 걸려요.","「얼마나 걸려요?(どのくらいかかる)」には所要時間 →「삼십 분쯤」。","",""
"72","TOPIK I (1〜2級)","듣기","듣기","l5-l-wh-color","남자: 무슨 색을 좋아해요? 여자: ___","問いに合う答えを選んでください。","파란색을 좋아해요.","색을 봐요.","가게에 있어요.","두 개예요.","1","파란색을 좋아해요.","「무슨 색?(何色)」→「파란색(青)」。","",""
"73","TOPIK I (1〜2級)","듣기","듣기","l5-l-wh-times","여자: 일주일에 몇 번 운동해요? 남자: ___","問いに合う答えを選んでください。","세 번 해요.","세 시에 해요.","세 명이에요.","운동을 좋아해요.","1","세 번 해요.","「몇 번?(何回)」には回数 →「세 번(3回)」。","",""
"74","TOPIK I (1〜2級)","듣기","듣기","l5-l-place-park","남자: 여기 자전거 타도 돼요? 여자: 네, 저쪽 길에서 타시면 돼요. 나무도 많고 좋죠?","ここはどこですか。","공원","학교","주차장","시장","1","공원","自転車・木が多い → 公園(공원)。","",""
"75","TOPIK I (1〜2級)","듣기","듣기","l5-l-place-pool","여자: 수영모를 꼭 써야 해요? 남자: 네, 물에 들어가기 전에 샤워도 해 주세요.","ここはどこですか。","수영장","목욕탕","바다","헬스장","1","수영장","「수영모(水泳帽)」「물에 들어가기 전에」→ プール(수영장)。","",""
"76","TOPIK I (1〜2級)","듣기","듣기","l5-l-place-photo","남자: 여권 사진을 찍으러 왔는데요. 여자: 네, 의자에 앉아서 앞을 봐 주세요.","ここはどこですか。","사진관","미용실","병원","옷 가게","1","사진관","「여권 사진을 찍다(証明写真を撮る)」→ 写真館(사진관)。","",""
"77","TOPIK I (1〜2級)","듣기","듣기","l5-l-place-academy","여자: 영어 회화 수업을 듣고 싶은데요. 남자: 초급반은 월·수·금 저녁에 있습니다.","ここはどこですか。","학원","학교","도서관","회사","1","학원","英会話の수업を申し込む → 塾(학원)。","",""
"78","TOPIK I (1〜2級)","듣기","듣기","l5-l-topic-movie","여자: 어제 영화 어땠어요? 남자: 배우들 연기가 정말 좋았어요.","二人は何について話していますか。","영화","음악","운동","책","1","영화","「영화 어땠어요?」「배우 연기」→ 映画(영화)。","",""
"79","TOPIK I (1〜2級)","듣기","듣기","l5-l-topic-shopping","남자: 백화점에서 뭐 샀어요? 여자: 신발하고 가방을 샀어요.","二人は何について話していますか。","쇼핑","여행","음식","취미","1","쇼핑","デパートで買い物の話 → 買い物(쇼핑)。","",""
"80","TOPIK I (1〜2級)","듣기","듣기","l5-l-do-walk","여자: 저녁마다 뭐 하세요? 남자: 강아지하고 산책을 해요.","男性は毎晩、何をしますか。","산책을 합니다.","청소를 합니다.","요리를 합니다.","공부를 합니다.","1","산책을 합니다.","「산책을 해요(散歩をする)」→ 散歩する。","",""
"81","TOPIK I (1〜2級)","듣기","듣기","l5-l-do-photo","남자: 지금 뭐 해요? 여자: 꽃 사진을 찍고 있어요.","女性は今、何をしていますか。","사진을 찍습니다.","그림을 그립니다.","꽃을 삽니다.","청소를 합니다.","1","사진을 찍습니다.","「사진을 찍고 있어요(写真を撮っている)」→ 写真を撮る。","",""
"82","TOPIK I (1〜2級)","듣기","듣기","l5-l-ask-window","여자: 선생님, 창문 좀 열어도 돼요? 남자: ___","続く言葉として正しいものを選んでください。","네, 여세요.","여기 앉으세요.","날씨가 참 좋네요.","잘 먹겠습니다.","1","네, 여세요.","「열어도 돼요?(開けてもいい)」への許可 →「네, 여세요」。","",""
"83","TOPIK I (1〜2級)","듣기","듣기","l5-l-request-phone","여자: 죄송하지만 전화번호 좀 알려 주시겠어요? 남자: ___","続く言葉として正しいものを選んでください。","네, 공일공에 일이삼사예요.","잘 부탁드립니다.","맛있게 드세요.","안녕히 가세요.","1","네, 공일공에 일이삼사예요.","「전화번호 알려 주시겠어요?」→ 番号を答える。","",""
"84","TOPIK I (1〜2級)","듣기","듣기","l5-l-match-reservation","여자: 여보세요, 오늘 저녁 예약돼요? 남자: 죄송합니다. 오늘은 자리가 다 찼어요. 내일은 가능합니다.","内容と同じものを選んでください。","오늘 저녁은 예약할 수 없습니다.","오늘 자리가 많습니다.","내일은 예약이 안 됩니다.","식당이 문을 닫았습니다.","1","오늘 저녁은 예약할 수 없습니다.","「오늘은 자리가 다 찼어요」→ 今夜は予約できない。明日は可能。","",""
"85","TOPIK I (1〜2級)","읽기","화제 고르기","r-topic-fruit","","이것은 사과입니다. 저것은 바나나입니다. 그것은 포도입니다.　何についての話ですか。","과일","채소","운동","계절","1","과일","사과(りんご)・바나나(バナナ)・포도(ぶどう)は果物(과일)。","",""
"86","TOPIK I (1〜2級)","읽기","화제 고르기","r-topic-season","","봄은 따뜻합니다. 여름은 덥습니다. 겨울은 춥습니다.　何についての話ですか。","계절","음식","가족","취미","1","계절","봄(春)・여름(夏)・겨울(冬)は季節(계절)。","",""
"87","TOPIK I (1〜2級)","읽기","화제 고르기","r-topic-sport","","저는 야구를 좋아합니다. 그리고 축구도 좋아합니다.　何についての話ですか。","운동","공부","여행","날씨","1","운동","야구(野球)・축구(サッカー)は運動(운동)。","",""
"88","TOPIK I (1〜2級)","읽기","화제 고르기","r-topic-food","","저는 김치를 좋아합니다. 그리고 불고기도 좋아합니다.　何についての話ですか。","음식","과일","운동","계절","1","음식","김치・불고기は食べ物(음식)。","",""
